"blockcode","maxdown","num_providers"
"310019656001046",940,1
"310019656001047",940,1
"310019656001048",940,1
"310019656001049",940,1
"310019656001050",940,2
"310019656001051",940,2
"310019656001052",940,2
"310019656001053",940,1
"310019656001054",940,2
"310019656001055",940,1
"310019656001056",940,2
"310019656001057",940,1
"310019656001062",4,1
"310019656001064",940,1
"310019656001065",940,1
"310019656001066",940,1
"310019656001067",940,1
"310019656001068",940,1
"310019656001069",940,1
"310019656001070",940,1
"310019656001071",940,1
"310019656001072",940,1
"310019656001073",940,1
"310019656001074",940,1
"310019656001075",940,1
"310019656001076",940,1
"310019656001077",940,1
"310019656001078",940,1
"310019656001079",940,2
"310019656001080",940,2
"310019656001081",940,2
"310019656001082",940,2
"310019656001083",940,1
"310019656001084",940,1
"310019656001085",940,1
"310019656001086",940,1
"310019656001087",1000,3
"310019656001088",1000,3
"310019656001089",1000,3
"310019656001090",1000,2
"310019656001091",1000,3
"310019656001092",1000,3
"310019656001093",1000,3
"310019656001094",1000,2
"310019656001095",1000,3
"310019656001096",1000,2
"310019656001097",940,1
"310019656002007",940,2
"310019656002008",940,2
"310019656002010",940,2
"310019656002011",1000,3
"310019656002012",1000,3
"310019656002013",940,1
"310019656002014",1000,3
"310019656002015",1000,3
"310019656002016",1000,2
"310019656002017",1000,3
"310019656002018",940,1
"310019656002019",1000,3
"310019656002020",940,1
"310019656002021",1000,3
"310019656002022",940,2
"310019656002023",940,1
"310019656002024",1000,3
"310019656002025",1000,3
"310019656002026",940,1
"310019656002027",940,1
"310019656002028",1000,3
"310019656002029",1000,2
"310019656002030",1000,3
"310019656002031",1000,2
"310019656002032",1000,3
"310019656002033",1000,3
"310019656002034",1000,3
"310019656002035",1000,3
"310019656002036",1000,2
"310019656002037",1000,2
"310019656002038",1000,2
"310019656002039",1000,2
"310019656002040",1000,3
"310019656002041",1000,2
"310019656002042",1000,2
"310019656002043",1000,2
"310019656002044",940,2
"310019656002045",1000,2
"310019656002046",940,1
"310019656002047",1000,3
"310019656002048",1000,2
"310019656002049",1000,2
"310019656002050",1000,2
"310019656002051",1000,3
"310019656002052",1000,2
"310019656002053",1000,3
"310019656002054",1000,2
"310019656002055",1000,2
"310019656002056",1000,3
"310019656002057",1000,2
"310019656002058",1000,3
"310019656002059",1000,2
"310019656002060",1000,2
"310019656002061",940,2
"310019656002062",1000,2
"310019656002063",1000,2
"310019656002065",4,1
"310019656002066",1000,3
"310019656003003",1000,2
"310019656003010",940,1
"310019656003011",940,1
"310019656003012",940,2
"310019656003013",1000,3
"310019656003014",940,1
"310019656003015",940,2
"310019656003016",940,2
"310019656003017",940,2
"310019656003018",940,1
"310019656003019",940,2
"310019656003020",940,2
"310019656003021",940,2
"310019656003022",940,2
"310019656003023",940,2
"310019656003024",940,1
"310019656003025",1000,3
"310019656003026",1000,3
"310019656003027",1000,2
"310019656003028",1000,3
"310019656003029",1000,2
"310019656003030",1000,2
"310019656003031",1000,3
"310019656003032",1000,3
"310019656003033",1000,3
"310019656003034",1000,2
"310019656003035",1000,3
"310019656003036",1000,2
"310019656003037",1000,3
"310019656003038",1000,3
"310019656003039",1000,2
"310019656003040",1000,3
"310019656003041",1000,2
"310019656003042",1000,2
"310019656003043",1000,2
"310019656003044",1000,2
"310019656003045",1000,3
"310019656003046",1000,2
"310019656003047",1000,2
"310019656003048",1000,2
"310019656003049",1000,2
"310019656003050",1000,2
"310019656003051",940,1
"310019656003052",940,1
"310019656003053",940,1
"310019656003054",940,1
"310019656003057",940,1
"310019656003058",940,1
"310019656004000",1000,3
"310019656004001",1000,3
"310019656004002",1000,2
"310019656004003",1000,3
"310019656004004",1000,3
"310019656004005",1000,3
"310019656004006",1000,2
"310019656004007",1000,3
"310019656004008",1000,3
"310019656004009",940,1
"310019656004010",940,1
"310019656004011",940,1
"310019656004012",940,1
"310019656004013",1000,3
"310019656004014",1000,3
"310019656004015",1000,3
"310019656004016",1000,3
"310019656004017",1000,2
"310019656004018",1000,2
"310019656004019",1000,2
"310019656004020",1000,2
"310019656004021",1000,2
"310019656004022",1000,3
"310019656004023",1000,2
"310019656004024",1000,2
"310019656004025",1000,2
"310019656004026",1000,3
"310019656004027",1000,2
"310019656004028",1000,3
"310019656004029",1000,3
"310019656004030",1000,3
"310019656004031",1000,2
"310019656004032",1000,3
"310019656004033",1000,3
"310019656004034",1000,3
"310019656004035",1000,2
"310019656004036",1000,2
"310019656004037",1000,2
"310019656004038",1000,2
"310019656004039",1000,2
"310019656004040",1000,2
"310019656004041",1000,3
"310019656004042",1000,2
"310019656004043",1000,2
"310019656004044",1000,2
"310019656004045",1000,2
"310019656004046",1000,3
"310019656004047",1000,2
"310019656004048",1000,3
"310019656004049",1000,2
"310019656004050",1000,2
"310019656004051",1000,3
"310019656004052",1000,3
"310019656004053",1000,2
"310019656004054",940,2
"310019656004055",1000,2
"310019657001000",1000,3
"310019657001001",1000,2
"310019657001002",1000,3
"310019657001003",1000,3
"310019657001004",1000,2
"310019657001005",940,2
"310019657001006",1000,3
"310019657001007",940,1
"310019657001008",1000,2
"310019657001009",1000,2
"310019657001010",1000,3
"310019657001011",1000,3
"310019657001012",940,2
"310019657001013",1000,2
"310019657001014",1000,2
"310019657001015",1000,3
"310019657001016",1000,2
"310019657001017",1000,3
"310019657001018",1000,3
"310019657001019",1000,3
"310019657001020",1000,2
"310019657001021",1000,3
"310019657001022",1000,3
"310019657001023",1000,3
"310019657001024",1000,3
"310019657001025",1000,2
"310019657001026",1000,3
"310019657001027",1000,3
"310019657001028",1000,3
"310019657001029",1000,2
"310019657001030",1000,2
"310019657001031",940,1
"310019657001032",1000,3
"310019657001033",1000,3
"310019657001034",1000,3
"310019657001035",1000,3
"310019657001036",1000,2
"310019657001037",1000,3
"310019657001038",1000,3
"310019657001039",1000,3
"310019657001040",1000,3
"310019657001041",1000,3
"310019657001042",1000,3
"310019657001043",1000,3
"310019657001044",1000,2
"310019657001045",1000,3
"310019657001046",1000,2
"310019657001047",1000,3
"310019657001048",1000,3
"310019657001049",1000,3
"310019657001050",1000,3
"310019657001051",1000,3
"310019657001052",1000,2
"310019657001053",1000,3
"310019657001054",1000,3
"310019657001055",940,1
"310019657001056",1000,2
"310019657002000",1000,3
"310019657002001",1000,3
"310019657002002",1000,2
"310019657002003",940,1
"310019657002004",1000,2
"310019657002005",1000,2
"310019657002006",940,2
"310019657002007",1000,3
"310019657002008",1000,3
"310019657002009",1000,3
"310019657002010",1000,3
"310019657002011",1000,3
"310019657002012",1000,3
"310019657002013",1000,3
"310019657002014",940,1
"310019658001000",1000,3
"310019658001001",1000,2
"310019658001002",1000,3
"310019658001003",1000,3
"310019658001004",1000,3
"310019658001005",1000,3
"310019658001006",1000,3
"310019658001007",1000,2
"310019658001008",1000,3
"310019658001009",1000,2
"310019658001010",1000,3
"310019658001011",1000,3
"310019658001012",1000,2
"310019658001013",1000,3
"310019658001014",1000,3
"310019658001015",1000,3
"310019658001016",1000,2
"310019658001017",1000,3
"310019658002000",1000,3
"310019658002001",1000,3
"310019658002002",1000,3
"310019658002003",1000,3
"310019658002004",1000,3
"310019658002005",1000,2
"310019658002006",1000,3
"310019658002007",1000,3
"310019658002008",1000,3
"310019658002009",1000,2
"310019658002010",940,2
"310019658002011",1000,2
"310019658002012",1000,2
"310019658002013",1000,2
"310019658002014",1000,3
"310019658002015",1000,3
"310019658002016",1000,2
"310019658002017",1000,3
"310019658002018",1000,3
"310019658002019",1000,2
"310019658002020",1000,3
"310019658002021",940,1
"310019658002022",940,1
"310019658002023",940,1
"310019658002024",1000,2
"310019658002025",940,1
"310019658002026",1000,3
"310019658002027",1000,2
"310019658002028",1000,2
"310019658002029",940,1
"310019658002030",940,1
"310019658002031",1000,2
"310019658002032",940,1
"310019658003000",1000,2
"310019658003001",1000,3
"310019658003002",1000,3
"310019658003003",1000,3
"310019658003004",1000,3
"310019658003005",1000,2
"310019658003006",1000,2
"310019658003007",1000,2
"310019658003008",1000,3
"310019658003009",1000,3
"310019658003010",1000,3
"310019658003011",940,1
"310019658003012",1000,3
"310019658003013",1000,3
"310019658003014",1000,3
"310019658003015",1000,3
"310019658003016",1000,2
"310019658003017",1000,3
"310019658003018",1000,3
"310019658003019",940,1
"310019658003020",1000,2
"310019658003021",940,1
"310019658003022",940,1
"310019658003023",940,1
"310019659001004",3,1
"310019659001008",940,1
"310019659001009",940,1
"310019659001011",940,1
"310019659001012",940,1
"310019659001013",940,1
"310019659001014",940,1
"310019659001015",940,1
"310019659001016",940,1
"310019659001017",1000,3
"310019659001018",1000,3
"310019659001019",1000,3
"310019659001020",1000,3
"310019659001021",1000,3
"310019659001022",940,2
"310019659001023",1000,2
"310019659001024",1000,3
"310019659001025",1000,3
"310019659001026",1000,2
"310019659001027",1000,3
"310019659001028",1000,3
"310019659001029",940,1
"310019659001030",940,1
"310019659001032",940,2
"310019659001033",940,1
"310019659001034",940,1
